research_record_id,source_record_id,source_document_id,record_type,source_role,boundary_alignment_role,mapping_scope,hunt_code,boundary_id,hunt_code_mapping_status,boundary_id_mapping_status,candidate_hunt_code,candidate_boundary_id,candidate_historical_hunt_code,candidate_historical_relationship,candidate_match_status,candidate_hunt_name,candidate_species,candidate_sex_type,candidate_weapon,candidate_hunt_type,candidate_season,candidate_permits_2026_res,candidate_permits_2026_nr,candidate_permits_2026_total,candidate_permits_2026_source,source_title,source_species,source_category,source_organization,source_group,source_area,source_condition,year_start,year_end,public_visible,prediction_engine_source,source_pdf,source_page,source_repo_path,source_file_status,source_sha256,file_size_bytes,source_row_count,source_unique_hunt_codes,source_unique_boundary_ids,data_status,source_truth_status,mapping_review_required,mapping_method,mapping_notes,original_notes
research_library_0001,doc_2025_big_game_field_regulations,doc_2025_big_game_field_regulations,document,LIBRARY_CATALOG_SOURCE,ROW_LEVEL_CANDIDATE_BOUNDARY_ALIGNMENT,DOCUMENT_LEVEL,,,DOCUMENT_LEVEL_MAPPING_REQUIRED,DOCUMENT_LEVEL_MAPPING_REQUIRED,,,,,DOCUMENT_ROW_NOT_HUNT_CODED,,,,,,,,,,,2025 Big Game Field Regulations,Big Game,Field Regulations,,,,,2025,2025,YES,YES,2025-big-game-field-regulations.pdf,,public/hard-copy/pdfs/2025-big-game-field-regulations.pdf,FOUND,05a87b5babd0a22af62c993bd3fe0ba106fb18f7029ed60fc75f6babe4dbdaa7,3432415,,,,public_card_confirmed,CATALOG_ONLY_NOT_TRUTH,YES,document_catalog_row_not_extracted_to_hunt_code_rows,Document rows must be extracted into per-hunt-code rows before promotion.,Main public hard-copy library card.
research_library_0002,doc_2025_big_game_harvest_results,doc_2025_big_game_harvest_results,document,LIBRARY_CATALOG_SOURCE,ROW_LEVEL_CANDIDATE_BOUNDARY_ALIGNMENT,DOCUMENT_LEVEL,,,DOCUMENT_LEVEL_MAPPING_REQUIRED,DOCUMENT_LEVEL_MAPPING_REQUIRED,,,,,DOCUMENT_ROW_NOT_HUNT_CODED,,,,,,,,,,,2025 Big Game Harvest Results,Big Game,Harvest Results,,,,,2025,2025,YES,YES,2025-big-game-harvest-results.pdf,,public/hard-copy/pdfs/2025-big-game-harvest-results.pdf,FOUND,e93e9472c9abfad2659fb4d3c3d62e28c9bf9b75c403839107fba89711e9d5df,14037480,,,,public_card_confirmed,CATALOG_ONLY_NOT_TRUTH,YES,document_catalog_row_not_extracted_to_hunt_code_rows,Document rows must be extracted into per-hunt-code rows before promotion.,Main public hard-copy library card.
research_library_0003,doc_2025_big_game_permit_draw_results,doc_2025_big_game_permit_draw_results,document,LIBRARY_CATALOG_SOURCE,ROW_LEVEL_CANDIDATE_BOUNDARY_ALIGNMENT,DOCUMENT_LEVEL,,,DOCUMENT_LEVEL_MAPPING_REQUIRED,DOCUMENT_LEVEL_MAPPING_REQUIRED,,,,,DOCUMENT_ROW_NOT_HUNT_CODED,,,,,,,,,,,2025 Big Game Permit Draw Results,Big Game,Draw Results,,,,,2025,2025,YES,YES,2025-big-game-draw-results.pdf,,public/hard-copy/pdfs/2025-big-game-draw-results.pdf,FOUND,65af3f1861d258fe272013db929a8a661f3059372c0bb259e1b5f90545538ef9,12732089,,,,public_card_confirmed,CATALOG_ONLY_NOT_TRUTH,YES,document_catalog_row_not_extracted_to_hunt_code_rows,Document rows must be extracted into per-hunt-code rows before promotion.,Main public hard-copy library card.
research_library_0004,doc_2026_big_game_application_guidebook,doc_2026_big_game_application_guidebook,document,LIBRARY_CATALOG_SOURCE,ROW_LEVEL_CANDIDATE_BOUNDARY_ALIGNMENT,DOCUMENT_LEVEL,,,DOCUMENT_LEVEL_MAPPING_REQUIRED,DOCUMENT_LEVEL_MAPPING_REQUIRED,,,,,DOCUMENT_ROW_NOT_HUNT_CODED,,,,,,,,,,,2026 Big Game Application Guidebook,Big Game,Application Guidebook,,,,,2026,2026,YES,YES,2026-big-game-application-guidebook.pdf,,public/hard-copy/pdfs/2026-big-game-application-guidebook.pdf,FOUND,84e2e3529b527291eb7a8dbe4ab814f6687d719e5c0116fc7dc318756ed9cd75,3167332,,,,public_card_confirmed,CATALOG_ONLY_NOT_TRUTH,YES,document_catalog_row_not_extracted_to_hunt_code_rows,Document rows must be extracted into per-hunt-code rows before promotion.,Main public hard-copy library card.
research_library_0005,doc_2025_bear_draw_results,doc_2025_bear_draw_results,document,LIBRARY_CATALOG_SOURCE,ROW_LEVEL_CANDIDATE_BOUNDARY_ALIGNMENT,DOCUMENT_LEVEL,,,DOCUMENT_LEVEL_MAPPING_REQUIRED,DOCUMENT_LEVEL_MAPPING_REQUIRED,,,,,DOCUMENT_ROW_NOT_HUNT_CODED,,,,,,,,,,,2025 Bear Draw Results,Bear,Draw Results,,,,,2025,2025,YES,YES,2025-black-bear-draw-odds.pdf,,public/hard-copy/pdfs/2025-black-bear-draw-odds.pdf,FOUND,d18cf6df54d9e649ae945f43fe305bcad52410751bf2649f54713892483099e8,1641231,,,,public_card_confirmed,CATALOG_ONLY_NOT_TRUTH,YES,document_catalog_row_not_extracted_to_hunt_code_rows,Document rows must be extracted into per-hunt-code rows before promotion.,Main public hard-copy library card.
research_library_0006,doc_2026_bear_application_guidebook,doc_2026_bear_application_guidebook,document,LIBRARY_CATALOG_SOURCE,ROW_LEVEL_CANDIDATE_BOUNDARY_ALIGNMENT,DOCUMENT_LEVEL,,,DOCUMENT_LEVEL_MAPPING_REQUIRED,DOCUMENT_LEVEL_MAPPING_REQUIRED,,,,,DOCUMENT_ROW_NOT_HUNT_CODED,,,,,,,,,,,2026 Bear Application Guidebook,Bear,Application Guidebook,,,,,2026,2026,YES,YES,2026-bear-application-guidebook.pdf,,public/hard-copy/pdfs/2026-bear-application-guidebook.pdf,FOUND,57a7a7c4b40196faf34251b260d30946aaaf23cbe0755e916508fc7d70b5b5f6,3243631,,,,public_card_confirmed,CATALOG_ONLY_NOT_TRUTH,YES,document_catalog_row_not_extracted_to_hunt_code_rows,Document rows must be extracted into per-hunt-code rows before promotion.,Main public hard-copy library card.
research_library_0007,doc_2025_turkey_draw_results,doc_2025_turkey_draw_results,document,LIBRARY_CATALOG_SOURCE,ROW_LEVEL_CANDIDATE_BOUNDARY_ALIGNMENT,DOCUMENT_LEVEL,,,DOCUMENT_LEVEL_MAPPING_REQUIRED,DOCUMENT_LEVEL_MAPPING_REQUIRED,,,,,DOCUMENT_ROW_NOT_HUNT_CODED,,,,,,,,,,,2025 Turkey Draw Results,Turkey,Draw Results,,,,,2025,2025,YES,YES,2025-turkey-draw-results.pdf,,public/hard-copy/pdfs/2025-turkey-draw-results.pdf,FOUND,24db62fb6252f0184505aa2c0245470a880ecc3a511a12afd14c3fb32510bb87,228604,,,,public_card_confirmed,CATALOG_ONLY_NOT_TRUTH,YES,document_catalog_row_not_extracted_to_hunt_code_rows,Document rows must be extracted into per-hunt-code rows before promotion.,Main public hard-copy library card.
research_library_0008,doc_2025_26_upland_game_turkey_guidebook,doc_2025_26_upland_game_turkey_guidebook,document,LIBRARY_CATALOG_SOURCE,ROW_LEVEL_CANDIDATE_BOUNDARY_ALIGNMENT,DOCUMENT_LEVEL,,,DOCUMENT_LEVEL_MAPPING_REQUIRED,DOCUMENT_LEVEL_MAPPING_REQUIRED,,,,,DOCUMENT_ROW_NOT_HUNT_CODED,,,,,,,,,,,2025–26 Upland Game Turkey Guidebook,Turkey,Field Regulations,,,,,2025,2026,YES,YES,2025-26-upland-game-turkey-guidebook.pdf,,public/hard-copy/pdfs/2025-26-upland-game-turkey-guidebook.pdf,FOUND,513951a6990b44de9af85c597a96b552f22cf0ec83f16d22f02398e14bc461ae,6395849,,,,public_card_confirmed,CATALOG_ONLY_NOT_TRUTH,YES,document_catalog_row_not_extracted_to_hunt_code_rows,Document rows must be extracted into per-hunt-code rows before promotion.,Main public hard-copy library card.
research_library_0009,doc_2026_expo_draw_results,doc_2026_expo_draw_results,document,LIBRARY_CATALOG_SOURCE,ROW_LEVEL_CANDIDATE_BOUNDARY_ALIGNMENT,DOCUMENT_LEVEL,,,DOCUMENT_LEVEL_MAPPING_REQUIRED,DOCUMENT_LEVEL_MAPPING_REQUIRED,,,,,DOCUMENT_ROW_NOT_HUNT_CODED,,,,,,,,,,,2026 Expo Draw Results,Expo Draw,Draw Results,,,,,2026,2026,YES,YES,2026-expo-draw-results.pdf,,public/hard-copy/pdfs/2026-expo-draw-results.pdf,FOUND,6fed061ed1fc7cd10acce029b1dfe96d37cdf97adf61199eae4b915722b5cdcc,656264,,,,public_card_confirmed,CATALOG_ONLY_NOT_TRUTH,YES,document_catalog_row_not_extracted_to_hunt_code_rows,Document rows must be extracted into per-hunt-code rows before promotion.,Main public hard-copy library card.
research_library_0010,doc_2022_2024_conservation_permits,doc_2022_2024_conservation_permits,document,LIBRARY_CATALOG_SOURCE,ROW_LEVEL_CANDIDATE_BOUNDARY_ALIGNMENT,DOCUMENT_LEVEL,,,DOCUMENT_LEVEL_MAPPING_REQUIRED,DOCUMENT_LEVEL_MAPPING_REQUIRED,,,,,DOCUMENT_ROW_NOT_HUNT_CODED,,,,,,,,,,,2022–2024 Conservation Permits,Multi-Species,Conservation Permits,,,,,2022,2024,NO,YES,2022-24_conservation_permits.pdf,,TBD: copy source PDF into public/hard-copy/source_pdfs/regulations/2022-2024/,MISSING_SOURCE_PATH,,,,,,extracted_from_uploaded_pdf,CATALOG_ONLY_NOT_TRUTH,YES,document_catalog_row_not_extracted_to_hunt_code_rows,Document rows must be extracted into per-hunt-code rows before promotion.,Source PDF extracted into individual permit allocation records.
